Country,Power_Plant_Name,Capacity_MW,Start_Year,Location,Owner,Operator,Type,Status,Annual_Generation_GWh,Lifetime_Generation_GWh,Operator_Website
Uruguay,Keith-Maldonado,539,2006,East Manuelview,Robbins-Houston,Liu Group,Fusion,Planned,7879.854055,21752.11462,http://www.russell.com/
Netherlands,Aguirre-Rowland,1566,2019,New Michael,"Peterson, Cooper and Roberts",Jordan-Moreno,Fusion,Planned,2580.924343,28029.08037,https://www.dillon-brown.biz/
Hungary,Murillo-Rose,1204,2021,Lake Joshua,"Kim, Guerra and Fowler","Huynh, Howard and Smith",Nuclear,Planned,216.7194867,84254.84153,https://www.hoffman.org/
United States of America,Moore-Harris,1240,2010,New Lisamouth,Knight-Warren,"Gonzalez, Berg and Norris",Nuclear,Operational,7260.818877,30568.14812,http://www.smith.net/
Kiribati,Villegas-Edwards,1527,1972,Millerport,"Harris, Todd and Garrett",Carter Inc,Fusion,Under Construction,5762.348207,38418.11995,http://www.maynard.com/
Sao Tome and Principe,Murphy Ltd,651,1972,Sharimouth,West-Nunez,Larson-Bennett,Fusion,Under Construction,423.5809127,92741.64613,http://wright.biz/
Central African Republic,Henderson and Sons,939,2018,Kaylahaven,"Oconnell, Clark and Lee","Smith, Lopez and Moses",Nuclear,Planned,9788.463399,65768.00389,http://www.lynn.com/
Mali,Reed-Wells,253,2020,West Cindystad,Welch Ltd,"Malone, Powell and Garcia",Nuclear,Operational,7241.872931,22818.75783,https://www.cross.com/
Madagascar,"Compton, Johnson and Hopkins",183,1999,Fergusonside,Harmon-Boyd,"Sanchez, Phillips and Walsh",Nuclear,Planned,6503.514542,73986.94877,https://holmes.com/
Honduras,"Woodward, Yoder and Booth",111,1996,Stewarthaven,Butler-Acosta,Lamb Inc,Fusion,Operational,4277.998736,80226.42138,http://www.miller.com/
Costa Rica,Golden-Moreno,570,1973,Whitemouth,"Johnson, Duarte and Phillips",Johnson PLC,Fusion,Planned,5977.1032,50914.85904,http://jenkins-marshall.org/
Canada,Perkins Inc,1477,1983,Tiffanymouth,Bailey-Sims,Payne Inc,Fusion,Operational,7580.221443,13253.52285,https://www.hansen-potter.com/
Heard Island and McDonald Islands,Miller Ltd,1613,1979,Lake Philip,Lopez PLC,Peterson-Hall,Fusion,Under Construction,5537.164387,33525.91284,https://robertson.biz/
Guinea-Bissau,Vance-Price,649,1998,Lake Christophertown,Thomas-Byrd,Bell-Mendoza,Nuclear,Planned,8590.839269,66111.93051,http://www.williams.org/
Jordan,Conley-Garza,504,2001,Andersonview,Armstrong-Rodriguez,"Beasley, Pham and Johnson",Fusion,Operational,1508.701165,38236.24259,https://hubbard.com/
Kazakhstan,"Ramirez, Young and Kaufman",397,2005,Williamsberg,Wong-Brooks,"Glenn, Smith and Parker",Fusion,Operational,8904.818964,40799.81976,https://hahn.com/
Iran,"Barker, Huynh and Smith",1559,1998,North Martinville,"Ramirez, Miller and Mccarthy",Brown Group,Fusion,Planned,8945.362175,89426.4916,https://porter.com/
El Salvador,"Spencer, Long and Griffith",512,1980,North Lukemouth,"Bentley, Brown and Reid","Watson, Strickland and Young",Fusion,Planned,9547.918631,14380.13949,http://www.maxwell-levy.com/
France,White and Sons,1301,2004,Turnertown,Vazquez-Porter,"Taylor, Delgado and Scott",Nuclear,Planned,6566.702911,23716.31267,https://mclaughlin.com/
Lithuania,"Copeland, Evans and Davis",1305,1996,New Jonathan,Phillips-Mahoney,Bowers-Brooks,Fusion,Operational,6739.850194,66904.78565,http://www.sims.com/
El Salvador,"Ward, Marquez and Morris",1578,2016,Ortegaview,Simmons-Dawson,"Randolph, Martinez and Higgins",Nuclear,Planned,1329.883057,99781.11365,http://www.williams.biz/
South Georgia and the South Sandwich Islands,"Harrell, Fernandez and Powell",426,2016,West Brandon,Bauer and Sons,Good and Sons,Nuclear,Planned,2542.337344,69104.78719,https://barnes-gutierrez.com/
Mozambique,Pierce-Sanders,1245,1991,South Judyburgh,"Garcia, Waller and Parker",Kennedy-Rasmussen,Nuclear,Under Construction,321.005082,76958.153,http://www.small.org/
Nigeria,"Crawford, Reese and Bentley",710,2001,Port Ana,Graham-Fuentes,"Meyers, Washington and Harvey",Nuclear,Under Construction,2790.916544,60167.4004,https://wilson.biz/
French Polynesia,Hernandez Inc,492,1981,Kennethmouth,Mercado-Ramos,"Quinn, Clark and Knight",Nuclear,Operational,1853.929583,75900.5112,https://stephens.com/
Belgium,"Chen, Burton and Daugherty",686,1982,Mitchellhaven,"Espinoza, Jenkins and Jackson",Ramsey Group,Fusion,Planned,9962.168823,30142.47367,https://jenkins.com/
Honduras,Patterson Inc,307,1974,South Ashley,"Gomez, Robinson and Johnson","Wells, Olson and Nguyen",Nuclear,Planned,1620.869803,45190.87942,https://www.wallace-davis.com/
Martinique,Hendrix-Figueroa,1977,1983,East Wendy,"Morales, Mccall and Rowe",Hawkins-Washington,Nuclear,Planned,5158.588001,29932.13496,https://www.hanson-harvey.info/
Belgium,Ross-Cross,378,2013,Jenniferside,Castro PLC,Burton Inc,Nuclear,Planned,5340.56567,64598.77021,https://martinez.com/
Cyprus,"Walker, Gardner and Gonzalez",1172,2023,Port Bobbyside,Tran-Washington,Richards-Aguilar,Fusion,Planned,8570.742941,49728.69353,https://gomez.com/
Comoros,Thomas Ltd,1387,2004,Port Adam,"Smith, Baker and Cook",Richardson-James,Nuclear,Planned,4133.664421,31025.92691,https://www.williamson.biz/
Aruba,Carter Ltd,298,1991,Williammouth,Walls Group,Moore-Smith,Nuclear,Under Construction,9073.400734,92240.12983,https://www.washington-reed.com/
Burundi,Cross and Sons,1774,1984,Angelachester,Fitzpatrick-Chen,Jenkins-Long,Nuclear,Operational,3708.375764,35286.83344,http://www.solis.net/
Luxembourg,Mercado-Lindsey,335,1999,Kathleenchester,Barnett-Huang,Hill-Zimmerman,Nuclear,Planned,1566.456917,40332.16831,https://ramos.com/
San Marino,Ayala-Tucker,1091,1993,Curtisbury,Werner and Sons,Gonzalez-Moore,Nuclear,Operational,1496.453731,12114.82268,http://www.gonzales-smith.com/
India,Rogers PLC,1511,2008,East Joshua,"Horne, King and Harris","Hernandez, Salazar and Bailey",Nuclear,Under Construction,1234.519705,52751.51462,http://www.melton.com/
Tunisia,"Booth, Burnett and Peters",593,1972,South Samuelstad,Poole-Arellano,Norman-Salinas,Nuclear,Operational,6856.311943,39384.65307,http://morales-shepherd.com/
Somalia,Soto-Hanson,1351,2011,Jonathanmouth,"Stein, Hall and Avery",Evans Group,Nuclear,Under Construction,6669.968648,83387.90028,https://lynch-rowe.info/
Norfolk Island,"Mcfarland, Reilly and Meyer",190,1995,West Meganport,Hardy-Jefferson,Hendricks-Howard,Fusion,Under Construction,8533.917904,63947.01356,https://www.mcdaniel.com/
Sudan,"Pena, Bell and Scott",261,1998,East Kimberlyshire,Kramer Ltd,"Smith, Chapman and Bryant",Nuclear,Planned,5283.698062,68464.37335,https://www.reid.info/
Mayotte,Oconnor Group,165,1999,Jaclynside,"Hughes, Jones and Gill","Barron, Sanchez and Suarez",Nuclear,Under Construction,9723.005488,14922.66251,https://www.smith.com/
Liechtenstein,"Calderon, Caldwell and Miller",1657,2008,Collinsville,"Macdonald, Long and Hamilton",Green-Gallagher,Fusion,Operational,4383.571154,46634.23705,http://www.ho.com/
Benin,"Pearson, Haley and Quinn",1886,1980,West Jennifer,"Bowman, Hale and Smith",Simmons-Jensen,Nuclear,Planned,971.4370137,11640.88946,https://chapman.com/
Ethiopia,"Gordon, Allison and Miller",844,2004,Johnstad,Castro and Sons,Wagner-Hines,Fusion,Operational,9821.444464,42625.44716,https://love.com/
Wallis and Futuna,Benjamin-Johnson,380,2005,Jesseberg,Brown and Sons,"Ward, Simmons and Hammond",Fusion,Under Construction,1605.450798,64796.53001,https://www.jackson-curtis.com/
France,Cisneros-Strickland,1520,2020,Gatesstad,"Woodard, Carter and Johnson","Tran, Silva and Dean",Nuclear,Planned,5962.022041,57995.46835,https://hamilton-roberts.com/
Iraq,Goodwin-Dennis,1205,2002,South Spencer,Chandler-Vargas,Allen Group,Nuclear,Planned,5893.922357,60342.39622,https://www.holmes.info/
Tanzania,Sloan-Manning,1264,2018,Kennethview,"Lewis, Jackson and Long",Hess Inc,Nuclear,Under Construction,149.425069,69940.60798,https://guerra-kelley.info/
Pakistan,"Ray, Foster and Collins",1149,1991,Millermouth,"Wells, Robinson and Williams","Green, Wyatt and Zamora",Nuclear,Operational,7737.179326,88694.96764,http://haynes-burns.com/
Singapore,Henderson PLC,1354,1983,East Angela,Serrano-Daniel,Ortiz Group,Fusion,Planned,9894.934764,99306.4658,http://www.bell-davis.com/
Martinique,Sutton Ltd,686,1983,Lake Davidmouth,Watts and Sons,Collins-Flowers,Nuclear,Operational,4886.822204,63302.80118,http://www.baker.biz/
Mali,"Santos, Jackson and Gonzalez",1159,2012,Maryhaven,Collins-Jones,"Rivera, Robinson and Peterson",Fusion,Operational,8860.497303,28237.93254,http://anderson.net/
South Georgia and the South Sandwich Islands,Lozano LLC,844,1987,East Aprilberg,Smith LLC,"Washington, Montgomery and Palmer",Fusion,Operational,4752.390785,88137.29193,http://www.white.com/
Armenia,Campos-Gibbs,622,1974,North Angelaview,Martinez-Stevens,"Turner, Browning and Myers",Nuclear,Operational,5620.729825,68994.55492,http://www.lee.biz/
Timor-Leste,Becker-Beck,190,2011,Barkerberg,"Wallace, Gallagher and Pruitt",Ball-King,Nuclear,Operational,1562.25796,75466.93486,http://www.bates-wright.com/
Madagascar,Fisher Group,643,2008,East Michaelview,Delgado Group,Smith PLC,Nuclear,Planned,7202.400811,65321.47089,http://www.bradshaw.com/
Lao People's Democratic Republic,Arroyo Group,1006,2019,Port Zachary,Boyd-Davis,"Torres, Jones and Miller",Nuclear,Operational,9890.29224,72697.9746,https://www.lawson.com/
Palestinian Territory,"Fleming, Cline and Cooper",286,1987,Colinville,Moore Group,"Moore, Johnson and Davis",Fusion,Operational,6140.77849,42120.22195,https://parker.com/
Argentina,"Williams, Walker and Schwartz",1893,2006,Aliciaborough,Trujillo-Hale,"Lane, Cole and Young",Nuclear,Planned,9991.064816,87743.14575,https://rice.com/
Denmark,Hudson-Berry,1829,1986,Armstronghaven,Roberts PLC,Owens-Sims,Nuclear,Planned,6857.221488,69221.14127,http://www.moss-edwards.com/
Isle of Man,"Hart, Willis and Beck",1589,1979,North Christinamouth,Webb-Powell,Hernandez-Walker,Fusion,Under Construction,7830.233848,89920.02745,https://anderson.com/
Netherlands,"Daniels, Thompson and Villa",1288,2007,West Kimberlymouth,Bolton Ltd,"Johnson, Burns and Reid",Fusion,Operational,5781.528671,50314.09058,http://brown.com/
Niger,Hudson-Rivera,1324,2020,Port Sandraville,Dyer-Osborn,"Nichols, Page and Tran",Nuclear,Planned,4165.230635,91583.02698,http://porter.net/
El Salvador,"Solomon, Hayes and Martinez",761,1990,Middletontown,"Buckley, Walker and Kennedy",Bailey and Sons,Fusion,Planned,156.8719942,38250.32557,http://nichols-adkins.biz/
Aruba,"Carr, Chapman and Monroe",1270,1993,New Carlos,Yu-Mitchell,Howard LLC,Nuclear,Operational,9773.993755,53464.57731,https://kirby-parker.net/
Luxembourg,Thompson-Dominguez,350,2010,Weaverburgh,"Marquez, Barber and Dawson",Barnes Ltd,Fusion,Under Construction,4102.112301,14469.17106,https://www.cameron-reed.net/
Turks and Caicos Islands,"Dorsey, Wright and Clark",104,1972,New Josephmouth,Martinez PLC,Carroll and Sons,Fusion,Planned,3932.864621,26854.10367,https://www.gallagher.com/
Qatar,Mack-Vincent,1848,2006,Scottbury,Irwin-Patton,Lee-Monroe,Fusion,Under Construction,1758.40201,37121.03568,https://pena-rodriguez.com/
Austria,"Diaz, Young and Cook",805,1973,Port George,Craig-Allen,Lewis Ltd,Nuclear,Operational,6630.221194,29780.29134,https://simon.biz/
Palau,Gonzales-Campbell,680,2022,Lake Aaron,Gonzalez PLC,"Lopez, Morgan and Molina",Nuclear,Operational,9006.072454,82287.52115,http://www.brown.net/
Colombia,"Hart, Daniel and Potter",1475,2010,Lake David,"Lang, Banks and Davis",Torres-Anderson,Nuclear,Operational,8111.58986,53799.72615,https://dickerson-campbell.com/
Grenada,Moore Inc,1354,2008,North Linda,Robinson-Fischer,West-Sawyer,Nuclear,Planned,211.735316,59612.94983,http://www.scott.com/
Bouvet Island (Bouvetoya),Reid LLC,1581,2000,Port Marco,"Haynes, Green and Wu","Flores, Tran and Soto",Nuclear,Under Construction,8744.503793,46378.25919,https://www.obrien.info/
Lithuania,Vargas-Mendez,1891,2016,New Williamfurt,"Lopez, Smith and Mitchell","Wright, Molina and Bennett",Nuclear,Under Construction,9803.41408,24101.1236,https://www.gordon.com/
Estonia,Brown Group,232,2000,South Eileenmouth,"Brown, Elliott and Moore","Turner, Sharp and Hanson",Fusion,Under Construction,6877.307585,60713.73806,http://www.mcclain.org/
Sao Tome and Principe,"Gomez, Williams and Baldwin",1564,1999,Lake Ashley,"Moore, Martin and Ellis",Kemp-Davis,Fusion,Under Construction,2050.127608,83788.29031,http://www.moran.com/
Ukraine,"Crawford, Carlson and Hurst",866,2015,South Jeanneland,"Khan, Spence and Williams","Warren, Cunningham and Harris",Nuclear,Under Construction,1622.809497,29717.23295,http://bradley-wallace.com/
Togo,Gardner-Lopez,1642,1970,North Jeremy,Martin Ltd,Figueroa-Cook,Fusion,Planned,7090.271124,55633.66009,https://www.reeves.com/
Hong Kong,Kim Inc,211,2020,Port Raymond,"Schaefer, Montoya and Armstrong",Morris and Sons,Fusion,Planned,6430.789465,38132.68724,http://www.henson.info/
Senegal,Carson-Wu,1532,2012,Michaelborough,Norris-Walters,Cardenas-Stafford,Nuclear,Planned,5693.221129,82087.0624,https://adkins.biz/
Cameroon,Marshall PLC,567,1979,East Elizabethton,Gutierrez Inc,"Wyatt, Holmes and Davis",Nuclear,Under Construction,4406.857815,51847.41583,https://www.logan.com/
Guadeloupe,Sanford-Cameron,1886,2001,New Natasha,Reeves Inc,Warner-Brown,Nuclear,Operational,4336.90927,24781.40423,http://wright.com/
Uzbekistan,Williams LLC,1746,1973,Shannonville,Rubio Group,Mckay-Fisher,Nuclear,Planned,6919.751688,45458.90215,https://grant.com/
Albania,Peterson Ltd,1579,1979,New Natasha,Vazquez-Cooley,"Greene, Reeves and Guzman",Fusion,Under Construction,3145.849864,88925.57774,http://foster.com/
Georgia,Miller-White,1599,2011,North Michaelton,"Reynolds, Caldwell and Oliver",Parrish-Johnson,Nuclear,Operational,999.9389177,50192.58205,http://www.cantrell.com/
Somalia,Nelson Ltd,1912,1985,East Rickyside,Hall and Sons,Castro-Crawford,Nuclear,Under Construction,3421.428054,96970.02219,https://gonzalez-evans.com/
North Macedonia,"Pena, Paul and Hansen",1601,2023,Adambury,"Daniels, Schwartz and Roberts","Lam, White and Lawson",Nuclear,Planned,9440.012993,77631.70038,https://herrera.com/
Algeria,Wood-Scott,957,2016,Sampsonburgh,Johns-Anderson,"Thomas, Montgomery and Matthews",Fusion,Operational,4336.883523,73651.23653,http://smith.net/
Tanzania,Bush Inc,1861,1970,Christyburgh,Horne Group,Lopez and Sons,Nuclear,Operational,4231.001166,20755.75237,https://byrd.com/
Azerbaijan,Cameron-Anderson,1192,1978,North Shannon,Ross Ltd,Ward-Collins,Fusion,Operational,6207.051372,10694.42234,https://hunter.net/
Italy,Wheeler-Mayer,279,1976,Michaelport,Brown-Johnson,Perkins-Jackson,Fusion,Planned,5974.802784,71140.82372,https://flores-nichols.com/
Nepal,"Gamble, Watson and Phillips",120,2012,West Dawnborough,"Hale, Lewis and Schmitt","Conley, Harris and Lucas",Nuclear,Under Construction,4332.55149,73190.45554,http://maxwell.com/
Svalbard & Jan Mayen Islands,"Hunter, Scott and Cuevas",1275,2021,West Earl,Montoya Ltd,"Hernandez, Sanchez and Burch",Nuclear,Planned,9393.096635,88487.60698,http://www.ramos.net/
Greenland,"Foster, Kim and Campbell",985,1987,East Josephmouth,"Davis, Farrell and Cline","Warren, Nicholson and Hughes",Nuclear,Operational,7618.900714,79336.05219,http://www.hendrix.org/
Romania,Rodriguez Inc,987,2021,East Leahstad,Phillips Group,"Gonzalez, Hodges and Burnett",Fusion,Planned,1163.406571,54678.56199,https://foster.com/
Belize,Kim Group,1738,2013,Camposfurt,Jones-Gonzalez,Wagner-Cooper,Fusion,Under Construction,3515.399701,93242.10787,https://bush-winters.com/
Benin,Harris-Cochran,810,1985,Billytown,"Chandler, Phillips and Williams",Hampton LLC,Fusion,Planned,9943.632303,23223.32824,https://benson.com/
Portugal,Novak-Armstrong,1110,2015,West Danielstad,Scott-Shaffer,Carter Inc,Fusion,Operational,2019.467579,47518.77383,http://hamilton.info/
Eritrea,Anderson-Green,817,1989,Robertobury,"West, Smith and Brooks",Foster Group,Nuclear,Under Construction,9644.405891,35484.27809,http://www.matthews-lawson.com/
Belarus,"Alexander, Jackson and Adams",1094,1984,East Ashlee,Gregory-Malone,"Rodriguez, Martinez and Oconnor",Nuclear,Planned,9487.191517,36566.06627,https://stevens.com/
Saudi Arabia,"Bell, Gonzalez and Watkins",1817,1978,Stephenland,Sandoval-Ellis,"Perez, Fowler and Powell",Nuclear,Under Construction,4804.344255,46801.89112,https://www.forbes.com/
Belarus,"Dixon, Mayer and Thomas",1719,2017,North Aprilport,Krause-Durham,"Stewart, Lucas and Everett",Nuclear,Planned,9992.658847,48708.65677,http://schneider-turner.org/
Heard Island and McDonald Islands,"Rice, Reese and Burton",700,1975,South Wanda,Mejia Inc,"Brooks, Patterson and Cummings",Nuclear,Operational,2237.516028,93110.9726,https://www.mcclure.com/
Lebanon,"Knight, Woodard and Wilson",334,1979,Kristenchester,Mays Group,"Mitchell, Glenn and Diaz",Fusion,Under Construction,2290.967646,27695.5006,http://www.hunter-brown.org/
Norfolk Island,King-Martin,1458,1989,Deniseport,Bennett-Jenkins,"Mcmahon, Santiago and Booker",Fusion,Under Construction,5327.576225,38024.5637,http://www.mendoza.org/
Trinidad and Tobago,Le-Frank,1282,1974,East Bradley,Olson-Berry,Henry PLC,Fusion,Under Construction,1606.762523,65510.84335,https://www.steele-pennington.com/
Montserrat,"Franklin, Wright and Shepherd",1027,1970,Patriciaville,"Morgan, Haynes and Richardson",Reid-Washington,Fusion,Operational,968.1666415,82528.28841,https://www.ellis.com/
Gabon,Phillips-Luna,1024,1993,Jacobsbury,Lutz PLC,Byrd-Joyce,Fusion,Planned,5262.156888,55638.56172,https://riggs-scott.biz/
Nicaragua,"Warner, Lee and Schultz",1822,1977,Thomasborough,Alexander Group,Williams Group,Nuclear,Planned,557.2808849,41655.7401,https://miller-hanson.com/
Georgia,Bush Ltd,1490,2022,Amytown,Higgins-Romero,Perez LLC,Fusion,Operational,8332.893247,93017.25844,https://byrd-lopez.biz/
Belize,"Delgado, Brooks and Walker",1993,2000,Nataliemouth,"Price, Nelson and Parker","Parrish, Riley and Cochran",Nuclear,Under Construction,9598.637087,99259.48007,http://bass.com/
South Georgia and the South Sandwich Islands,Phillips PLC,882,1980,North Andrewview,"Duncan, Eaton and Rasmussen","Schmidt, Willis and Page",Fusion,Operational,7784.042849,47609.26546,http://webb.org/
Algeria,Brewer-Colon,923,1981,East Crystal,"Nelson, Kelly and Smith","Lane, Terry and Estrada",Nuclear,Under Construction,602.8576109,59123.10114,http://www.moore.org/
Italy,Potter Inc,1248,1988,New Kathrynberg,Martinez Inc,Carpenter-Duke,Nuclear,Operational,2721.929888,11924.07247,https://lopez.biz/
Cook Islands,"Brewer, Garcia and Leonard",798,1978,Lake Caitlinville,"Brown, Byrd and Martin",Hart-Woodard,Nuclear,Planned,4025.521562,18046.13932,https://curry.com/
Belize,"Carpenter, Smith and Evans",383,2015,Lake David,Krueger and Sons,"Ashley, Williams and Smith",Nuclear,Planned,7460.065773,85642.39243,https://santos.net/
United Arab Emirates,Vaughan-Johnson,263,1992,Mitchellfurt,Boone-Bowman,"Nguyen, Peters and Estes",Fusion,Operational,5738.820829,95425.6485,https://www.hill.info/
Slovenia,Gray-Hoffman,938,2021,New Stephenburgh,Olson-Fuller,Scott Inc,Nuclear,Operational,4055.793888,55025.5945,https://www.davis.biz/
Lao People's Democratic Republic,Stephens Ltd,529,1992,Johnsonstad,"Luna, Becker and Johnson",Franklin Inc,Fusion,Operational,9787.091324,73233.19097,http://campbell.org/
Libyan Arab Jamahiriya,Camacho Inc,1711,1988,South Benjaminbury,Davenport LLC,Curtis-Silva,Nuclear,Operational,8760.580671,83703.87673,https://www.gutierrez-long.com/
Netherlands,Olson LLC,1961,2021,Marieshire,Reese PLC,"Benton, Smith and Roberts",Fusion,Operational,6160.002726,22782.60997,https://schmidt.biz/
North Macedonia,Garrett Group,1302,2015,Greggton,Wood-Norman,"Lewis, Marquez and Nielsen",Fusion,Operational,2687.22995,38984.48164,https://www.bryant.biz/
Antarctica (the territory South of 60 deg S),"Jones, James and George",268,1980,Elizabethfurt,Garcia-Miller,"Shaffer, Vasquez and Mccoy",Nuclear,Operational,4350.876103,62654.97507,https://wright.com/
Romania,"Hogan, Frost and Rose",1503,1981,Lake Jose,Le LLC,"Roberts, Peterson and Andrews",Nuclear,Operational,6918.190225,72297.34332,https://johnson-tran.biz/
Hong Kong,Mcmahon-Bates,1962,2014,West Colleenland,Smith Inc,Horton-Haney,Fusion,Planned,877.5175772,96872.09096,https://www.sullivan.com/
Nepal,"Hudson, Boyd and Bates",1194,2022,Jenniferport,"Long, Johnston and Baker",Smith Group,Nuclear,Operational,2074.768932,61977.65131,http://paul.org/
Pakistan,Wyatt and Sons,849,2002,Howemouth,Wilson Ltd,"Smith, Mosley and Walker",Nuclear,Operational,2814.728954,94961.46804,http://sheppard-clayton.com/
Samoa,Sanchez and Sons,342,2022,Mcgeetown,Potter LLC,Vega Inc,Nuclear,Operational,285.0135611,60486.67934,https://www.white.com/
Mali,Olson-Ramsey,270,2020,Benjaminshire,Barnes PLC,Schmitt-Glover,Nuclear,Under Construction,2176.481214,99928.67382,https://jones-may.net/
Australia,Wilkinson-Weiss,1555,1978,West Adam,Martin Ltd,"Santiago, Schaefer and Espinoza",Fusion,Operational,9907.413367,44174.52642,https://www.myers.com/
American Samoa,Sanchez-Clark,236,2014,South Kelly,Marquez-Castillo,"Evans, Johnson and Collins",Nuclear,Operational,352.0920437,56152.97847,https://www.mata-sheppard.com/
French Polynesia,Becker Group,570,2008,Jonesborough,Patel-Taylor,"Perez, Nelson and Jones",Nuclear,Planned,6607.707132,43900.7294,http://www.martinez.com/
Australia,Rice-Crosby,1726,1991,Michaeltown,"Jordan, Collins and Lowe",Holland LLC,Nuclear,Under Construction,4803.258775,14505.539,http://www.anderson-brewer.org/
Saint Vincent and the Grenadines,Dunn-Munoz,1840,2006,Port Gail,"Jones, Hernandez and Evans","Schneider, Cook and Farmer",Nuclear,Under Construction,2850.232464,48525.53718,http://www.bailey.com/
Latvia,Delgado Inc,438,1999,Lake Claudiaview,"Edwards, Griffin and Ruiz",Grant Inc,Nuclear,Planned,7017.191245,20960.40306,http://www.powell.com/
Iraq,Baker-Miller,1920,2021,Charlottemouth,Scott-Thomas,Davis-Ferguson,Fusion,Under Construction,6782.317439,61775.93901,https://www.johnson-harper.com/
Saint Kitts and Nevis,"Poole, Ferguson and Holmes",1651,2005,Heidichester,Saunders PLC,"Young, Bray and Sanders",Nuclear,Operational,9823.557186,14514.15067,https://www.wang.biz/
Svalbard & Jan Mayen Islands,Stewart Inc,1303,2006,Clarkeport,"Gomez, Simmons and Kennedy",Burton-Summers,Fusion,Planned,6627.13064,89066.79825,http://edwards.com/
Sierra Leone,Sanchez Group,1739,1987,West Thomasfurt,Porter Inc,Durham-Smith,Nuclear,Under Construction,9527.202584,15297.27928,http://www.oconnor.com/
Saudi Arabia,"Collins, Johnson and Reed",1729,1972,North Curtis,"Woods, Harvey and Huffman",Greer Group,Fusion,Under Construction,827.984507,11146.311,https://www.gibson.com/
Myanmar,"Smith, Meadows and Moore",970,2020,New Felicia,"Hooper, Dunn and Duncan",Walters LLC,Nuclear,Planned,5233.560059,98631.6976,https://buck-sanchez.biz/
Myanmar,Collins-Poole,354,2009,Spencerfurt,French-Giles,Oliver PLC,Nuclear,Planned,9688.173715,56040.83039,https://kelly.com/
Azerbaijan,Nixon Group,598,2004,Lake Eddieton,Glass Group,Ramirez-Salazar,Nuclear,Operational,1889.594494,88311.76763,http://www.kerr.com/
China,"Robles, Pena and Smith",1718,1999,West Nicole,Suarez-Johnson,Liu and Sons,Nuclear,Operational,3286.090524,64824.71904,http://www.smith.com/
Angola,"Oconnell, Gates and Williams",1781,2020,Pennychester,"Brown, Bell and Simon",Tucker PLC,Nuclear,Operational,1325.829824,95762.95884,http://stanley-smith.com/
Belize,Johnson Group,1757,1988,Westland,"Cook, Reyes and Brown",Harvey-Ferguson,Nuclear,Planned,2880.60897,69236.7456,https://west-ramirez.info/
Jersey,Dillon LLC,1854,2003,East Timothy,"Wiggins, Kramer and Rodriguez",Jordan-White,Nuclear,Under Construction,5842.864695,99873.78016,http://ibarra.biz/
Northern Mariana Islands,"Taylor, Gill and Robbins",606,2004,Lake Valerieberg,Rich-Andrews,Heath-Brooks,Nuclear,Planned,7489.123281,54500.98689,http://www.reed.com/
Sri Lanka,"Juarez, Chavez and Hunter",1571,1987,East Stephanieville,Williams and Sons,Manning Group,Fusion,Planned,6169.221338,83164.26979,https://wilkins.com/
Martinique,"Jones, Zamora and Maynard",1525,2009,Robertsontown,Avila Inc,Bentley-Conley,Nuclear,Planned,6313.956743,60028.04019,http://simon.com/
Guatemala,Hoffman-Gibson,1836,1986,Irwinton,Webster-Kramer,Ramirez and Sons,Nuclear,Planned,5529.327908,37084.98956,https://santiago-martin.net/
Congo,Carrillo-Brown,272,2000,Alexanderburgh,"Dunn, Martin and Berry","Ortiz, Li and Williams",Nuclear,Under Construction,992.4107987,10397.35314,https://owens.com/
French Southern Territories,"Combs, Hayes and Smith",1712,2006,East Sheenaport,White Ltd,Jenkins PLC,Fusion,Under Construction,264.3223937,77955.27529,http://white.org/
Saint Kitts and Nevis,Freeman-Kidd,1986,1998,South Sarah,"Wright, Gay and Allen",Mitchell Group,Fusion,Planned,5656.383365,24914.01096,http://www.cain.com/
Ghana,Jones PLC,809,1975,Williamsberg,Vaughn-Harmon,Bender-Brown,Fusion,Operational,1447.093444,70154.01423,https://howard.com/
Cayman Islands,Smith LLC,1304,2004,East Jefferyfort,Wright-Mayer,"Lewis, Morgan and Gill",Nuclear,Under Construction,1857.270006,58271.18669,https://james.net/
Liberia,Young-Miller,543,1972,East Monica,George and Sons,Cook PLC,Fusion,Under Construction,6485.989736,69706.14676,https://www.bush.com/
Malta,Hester PLC,580,1973,Mullenton,Phillips Ltd,"Bruce, Erickson and Richardson",Fusion,Operational,7125.683571,28170.55793,https://scott.net/
France,Williams-Morgan,321,2018,New Billyside,Barker-Peterson,Mills PLC,Fusion,Operational,8873.497175,21161.50039,http://rice.com/
Denmark,"Hernandez, Perez and Garza",1775,1975,Zacharyside,Grant Ltd,"Page, Simpson and Lopez",Nuclear,Under Construction,3048.050373,18184.08643,https://www.henderson.com/
Ecuador,Whitehead PLC,1025,1997,Alvarezmouth,"Colon, King and Jenkins",Martin Group,Fusion,Under Construction,6202.629977,64526.14903,http://www.hanson.org/
Egypt,Taylor-Taylor,1964,2011,Andrewland,"Hoffman, Fisher and Watson",Hall-Graham,Fusion,Operational,6974.602947,98519.39464,https://www.johnson-zavala.com/
Angola,Rodriguez Ltd,1514,1998,Ballardmouth,Harris Ltd,Best Inc,Nuclear,Operational,3206.249534,82287.37267,http://griffin.com/
Albania,"Hunter, Green and Baker",465,2023,West Brandonbury,Sutton LLC,"Rhodes, Hamilton and Santos",Nuclear,Planned,4637.957152,87911.97794,https://www.johnson-dennis.com/
